Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: Image,Spreadsheet: ANSWER,Spreadsheet: Category,Spreadsheet: Text,Spreadsheet: Text2,Spreadsheet: bug_id,Spreadsheet: test1,Spreadsheet: test2,Spreadsheet: test3,Spreadsheet: test4,Spreadsheet: test5,Spreadsheet: test6,Spreadsheet: test7,Spreadsheet: test8,Spreadsheet: test_category,Manipulation: Spreadsheet
1,1699209190283,05/11/2023 18:33:10,1699209190283,0,05/11/2023 18:33:10,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1699209192260,05/11/2023 18:33:12,1699209192260,0,05/11/2023 18:33:12,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,1,progress_screen,Screen 1,c3p92z,1,timedOut,,2000.384000023842,1999.88,2000.384000023842,2000.384000023842,1999.88,2000.384000023842,1,2000.384000023842,0,0,,Time Limit,screen,0,screen,progress_screen,,,,,,Learning block 1 of 10,,,,,,,,,,,,
3,1699209193260,05/11/2023 18:33:13,1699209193260,0,05/11/2023 18:33:13,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,1,bug_images,Screen 1,4vghlo,1,timedOut,,1000.7040000715256,1000.364,1000.7040000715256,1000.7040000715256,1000.364,1000.7040000715256,1,1000.7040000715256,0,0,,Time Limit,screen,0,screen,bug_images,7,13,11211.jpg,,conter.JPG,,,11211_1,,,,,,,,,,
4,1699209195260,05/11/2023 18:33:15,1699209195260,0,05/11/2023 18:33:15,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,1,bug_images,Screen 2,fzyf7b,2,timedOut,,2000.2400000476837,1999.946,2000.2400000476837,2000.2400000476837,1999.946,2000.2400000476837,1,2000.2400000476837,0,0,,Time Limit,screen,0,screen,bug_images,7,13,11211.jpg,,conter.JPG,,,11211_1,,,,,,,,,,
5,1699209195760,05/11/2023 18:33:15,1699209195760,0,05/11/2023 18:33:15,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,1,bug_images,Screen 3,o7ugiu,3,timedOut,,500.6940000238419,500.03099999999995,500.6940000238419,500.6940000238419,500.03099999999995,500.6940000238419,1,500.6940000238419,0,0,,Time Limit,screen,0,screen,bug_images,7,13,11211.jpg,,conter.JPG,,,11211_1,,,,,,,,,,
6,1699209196761,05/11/2023 18:33:16,1699209196761,0,05/11/2023 18:33:16,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,1,bug_images,Screen 4,3mgwer,4,timedOut,,1000.8630000715257,999.7669999999998,1000.8630000715257,1000.8630000715257,999.7669999999998,1000.8630000715257,1,1000.8630000715257,0,0,,Time Limit,screen,0,screen,bug_images,7,13,11211.jpg,,conter.JPG,,,11211_1,,,,,,,,,,
7,1699209197760,05/11/2023 18:33:17,1699209197760,0,05/11/2023 18:33:17,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,2,bug_images,Screen 1,4vghlo,1,timedOut,,1000.6959999761584,1000.0030000000006,1000.6959999761584,1000.6959999761584,1000.0030000000006,1000.6959999761584,1,1000.6959999761584,0,0,,Time Limit,screen,0,screen,bug_images,7,13,21121.jpg,,pronist.JPG,,,21121_2,,,,,,,,,,
8,1699209199760,05/11/2023 18:33:19,1699209199760,0,05/11/2023 18:33:19,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,2,bug_images,Screen 2,fzyf7b,2,timedOut,,2000.5930000715252,2000.2529999999988,2000.5930000715252,2000.5930000715252,2000.2529999999988,2000.5930000715252,1,2000.5930000715252,0,0,,Time Limit,screen,0,screen,bug_images,7,13,21121.jpg,,pronist.JPG,,,21121_2,,,,,,,,,,
9,1699209200261,05/11/2023 18:33:20,1699209200261,0,05/11/2023 18:33:20,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,2,bug_images,Screen 3,o7ugiu,3,timedOut,,501.0400000000009,499.7450000000008,501.0400000000009,501.0400000000009,499.7450000000008,501.0400000000009,1,501.0400000000009,0,0,,Time Limit,screen,0,screen,bug_images,7,13,21121.jpg,,pronist.JPG,,,21121_2,,,,,,,,,,
10,1699209201260,05/11/2023 18:33:21,1699209201260,0,05/11/2023 18:33:21,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,2,bug_images,Screen 4,3mgwer,4,timedOut,,1001.0950000715256,1000.277,1001.0950000715256,1001.0950000715256,1000.277,1001.0950000715256,1,1001.0950000715256,0,0,,Time Limit,screen,0,screen,bug_images,7,13,21121.jpg,,pronist.JPG,,,21121_2,,,,,,,,,,
11,1699209202260,05/11/2023 18:33:22,1699209202260,0,05/11/2023 18:33:22,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,3,bug_images,Screen 1,4vghlo,1,timedOut,,1000.4179999761582,999.9840000000004,1000.4179999761582,1000.4179999761582,999.9840000000004,1000.4179999761582,1,1000.4179999761582,0,0,,Time Limit,screen,0,screen,bug_images,7,13,21121.jpg,,conter.JPG,,,21121_1,,,,,,,,,,
12,1699209204260,05/11/2023 18:33:24,1699209204260,0,05/11/2023 18:33:24,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,3,bug_images,Screen 2,fzyf7b,2,timedOut,,2000.3340000715252,1999.982,2000.3340000715252,2000.3340000715252,1999.982,2000.3340000715252,1,2000.3340000715252,0,0,,Time Limit,screen,0,screen,bug_images,7,13,21121.jpg,,conter.JPG,,,21121_1,,,,,,,,,,
13,1699209204759,05/11/2023 18:33:24,1699209204759,0,05/11/2023 18:33:24,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,3,bug_images,Screen 3,o7ugiu,3,timedOut,,500.0519999999997,499.72799999999916,500.0519999999997,500.0519999999997,499.72799999999916,500.0519999999997,1,500.0519999999997,0,0,,Time Limit,screen,0,screen,bug_images,7,13,21121.jpg,,conter.JPG,,,21121_1,,,,,,,,,,
14,1699209205759,05/11/2023 18:33:25,1699209205759,0,05/11/2023 18:33:25,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,3,bug_images,Screen 4,3mgwer,4,timedOut,,1000.2239999761587,1000.0410000000011,1000.2239999761587,1000.2239999761587,1000.0410000000011,1000.2239999761587,1,1000.2239999761587,0,0,,Time Limit,screen,0,screen,bug_images,7,13,21121.jpg,,conter.JPG,,,21121_1,,,,,,,,,,
15,1699209206760,05/11/2023 18:33:26,1699209206760,0,05/11/2023 18:33:26,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,4,bug_images,Screen 1,4vghlo,1,timedOut,,1000.8830000238413,1000.1660000000011,1000.8830000238413,1000.8830000238413,1000.1660000000011,1000.8830000238413,1,1000.8830000238413,0,0,,Time Limit,screen,0,screen,bug_images,7,13,11121.jpg,,conter.JPG,,,11121_1,,,,,,,,,,
16,1699209208760,05/11/2023 18:33:28,1699209208760,0,05/11/2023 18:33:28,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,4,bug_images,Screen 2,fzyf7b,2,timedOut,,2000.6169999999984,2000.043999999998,2000.6169999999984,2000.6169999999984,2000.043999999998,2000.6169999999984,1,2000.6169999999984,0,0,,Time Limit,screen,0,screen,bug_images,7,13,11121.jpg,,conter.JPG,,,11121_1,,,,,,,,,,
17,1699209209260,05/11/2023 18:33:29,1699209209260,0,05/11/2023 18:33:29,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,4,bug_images,Screen 3,o7ugiu,3,timedOut,,500.3730000715259,499.9840000000004,500.3730000715259,500.3730000715259,499.9840000000004,500.3730000715259,1,500.3730000715259,0,0,,Time Limit,screen,0,screen,bug_images,7,13,11121.jpg,,conter.JPG,,,11121_1,,,,,,,,,,
18,1699209210260,05/11/2023 18:33:30,1699209210260,0,05/11/2023 18:33:30,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,4,bug_images,Screen 4,3mgwer,4,timedOut,,1000.4889999761581,1000.018,1000.4889999761581,1000.4889999761581,1000.018,1000.4889999761581,1,1000.4889999761581,0,0,,Time Limit,screen,0,screen,bug_images,7,13,11121.jpg,,conter.JPG,,,11121_1,,,,,,,,,,
19,1699209211260,05/11/2023 18:33:31,1699209211260,0,05/11/2023 18:33:31,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,5,bug_images,Screen 1,4vghlo,1,timedOut,,1000.7710000476836,999.8509999999987,1000.7710000476836,1000.7710000476836,999.8509999999987,1000.7710000476836,1,1000.7710000476836,0,0,,Time Limit,screen,0,screen,bug_images,7,13,21111.jpg,,conter.JPG,,,21111_1,,,,,,,,,,
20,1699209213260,05/11/2023 18:33:33,1699209213260,0,05/11/2023 18:33:33,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,5,bug_images,Screen 2,fzyf7b,2,timedOut,,2000.5200000715267,2000.211000000003,2000.5200000715267,2000.5200000715267,2000.211000000003,2000.5200000715267,1,2000.5200000715267,0,0,,Time Limit,screen,0,screen,bug_images,7,13,21111.jpg,,conter.JPG,,,21111_1,,,,,,,,,,
21,1699209213760,05/11/2023 18:33:33,1699209213760,0,05/11/2023 18:33:33,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,5,bug_images,Screen 3,o7ugiu,3,timedOut,,500.5089999999982,499.8679999999986,500.5089999999982,500.5089999999982,499.8679999999986,500.5089999999982,1,500.5089999999982,0,0,,Time Limit,screen,0,screen,bug_images,7,13,21111.jpg,,conter.JPG,,,21111_1,,,,,,,,,,
22,1699209214760,05/11/2023 18:33:34,1699209214760,0,05/11/2023 18:33:34,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,5,bug_images,Screen 4,3mgwer,4,timedOut,,1000.7410000238415,1000.0789999999979,1000.7410000238415,1000.7410000238415,1000.0789999999979,1000.7410000238415,1,1000.7410000238415,0,0,,Time Limit,screen,0,screen,bug_images,7,13,21111.jpg,,conter.JPG,,,21111_1,,,,,,,,,,
23,1699209215760,05/11/2023 18:33:35,1699209215760,0,05/11/2023 18:33:35,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,6,bug_images,Screen 1,4vghlo,1,timedOut,,1000.6620000238436,999.992000000002,1000.6620000238436,1000.6620000238436,999.992000000002,1000.6620000238436,1,1000.6620000238436,0,0,,Time Limit,screen,0,screen,bug_images,7,13,11211.jpg,,pronist.JPG,,,11211_2,,,,,,,,,,
24,1699209217760,05/11/2023 18:33:37,1699209217760,0,05/11/2023 18:33:37,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,6,bug_images,Screen 2,fzyf7b,2,timedOut,,2000.3700000715253,1999.7619999999988,2000.3700000715253,2000.3700000715253,1999.7619999999988,2000.3700000715253,1,2000.3700000715253,0,0,,Time Limit,screen,0,screen,bug_images,7,13,11211.jpg,,pronist.JPG,,,11211_2,,,,,,,,,,
25,1699209218261,05/11/2023 18:33:38,1699209218261,0,05/11/2023 18:33:38,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,6,bug_images,Screen 3,o7ugiu,3,timedOut,,501.40800002384276,500.0300000000025,501.40800002384276,501.40800002384276,500.0300000000025,501.40800002384276,1,501.40800002384276,0,0,,Time Limit,screen,0,screen,bug_images,7,13,11211.jpg,,pronist.JPG,,,11211_2,,,,,,,,,,
26,1699209219260,05/11/2023 18:33:39,1699209219260,0,05/11/2023 18:33:39,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,6,bug_images,Screen 4,3mgwer,4,timedOut,,1000.578000071524,1000.1399999999994,1000.578000071524,1000.578000071524,1000.1399999999994,1000.578000071524,1,1000.578000071524,0,0,,Time Limit,screen,0,screen,bug_images,7,13,11211.jpg,,pronist.JPG,,,11211_2,,,,,,,,,,
27,1699209220260,05/11/2023 18:33:40,1699209220260,0,05/11/2023 18:33:40,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,7,bug_images,Screen 1,4vghlo,1,timedOut,,1000.4380000715246,1000.0229999999974,1000.4380000715246,1000.4380000715246,1000.0229999999974,1000.4380000715246,1,1000.4380000715246,0,0,,Time Limit,screen,0,screen,bug_images,7,13,21211.jpg,,pronist.JPG,,,21211_2,,,,,,,,,,
28,1699209222260,05/11/2023 18:33:42,1699209222260,0,05/11/2023 18:33:42,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,7,bug_images,Screen 2,fzyf7b,2,timedOut,,2001.0149999761597,1999.7660000000033,2001.0149999761597,2001.0149999761597,1999.7660000000033,2001.0149999761597,1,2001.0149999761597,0,0,,Time Limit,screen,0,screen,bug_images,7,13,21211.jpg,,pronist.JPG,,,21211_2,,,,,,,,,,
29,1699209222760,05/11/2023 18:33:42,1699209222760,0,05/11/2023 18:33:42,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,7,bug_images,Screen 3,o7ugiu,3,timedOut,,500.84899999999834,500.3129999999983,500.84899999999834,500.84899999999834,500.3129999999983,500.84899999999834,1,500.84899999999834,0,0,,Time Limit,screen,0,screen,bug_images,7,13,21211.jpg,,pronist.JPG,,,21211_2,,,,,,,,,,
30,1699209223760,05/11/2023 18:33:43,1699209223760,0,05/11/2023 18:33:43,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,7,bug_images,Screen 4,3mgwer,4,timedOut,,1000.6360000238419,999.9369999999981,1000.6360000238419,1000.6360000238419,999.9369999999981,1000.6360000238419,1,1000.6360000238419,0,0,,Time Limit,screen,0,screen,bug_images,7,13,21211.jpg,,pronist.JPG,,,21211_2,,,,,,,,,,
31,1699209224760,05/11/2023 18:33:44,1699209224760,0,05/11/2023 18:33:44,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,8,bug_images,Screen 1,4vghlo,1,timedOut,,1000.3990000715276,999.8150000000023,1000.3990000715276,1000.3990000715276,999.8150000000023,1000.3990000715276,1,1000.3990000715276,0,0,,Time Limit,screen,0,screen,bug_images,7,13,11211.jpg,,pronist.JPG,,,11211_2,,,,,,,,,,
32,1699209226760,05/11/2023 18:33:46,1699209226760,0,05/11/2023 18:33:46,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,8,bug_images,Screen 2,fzyf7b,2,timedOut,,2000.8840000238415,2000.161,2000.8840000238415,2000.8840000238415,2000.161,2000.8840000238415,1,2000.8840000238415,0,0,,Time Limit,screen,0,screen,bug_images,7,13,11211.jpg,,pronist.JPG,,,11211_2,,,,,,,,,,
33,1699209227260,05/11/2023 18:33:47,1699209227260,0,05/11/2023 18:33:47,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,8,bug_images,Screen 3,o7ugiu,3,timedOut,,500.42300007152517,500.0709999999963,500.42300007152517,500.42300007152517,500.0709999999963,500.42300007152517,1,500.42300007152517,0,0,,Time Limit,screen,0,screen,bug_images,7,13,11211.jpg,,pronist.JPG,,,11211_2,,,,,,,,,,
34,1699209228260,05/11/2023 18:33:48,1699209228260,0,05/11/2023 18:33:48,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,8,bug_images,Screen 4,3mgwer,4,timedOut,,1000.3520000715289,999.994000000006,1000.3520000715289,1000.3520000715289,999.994000000006,1000.3520000715289,1,1000.3520000715289,0,0,,Time Limit,screen,0,screen,bug_images,7,13,11211.jpg,,pronist.JPG,,,11211_2,,,,,,,,,,
35,1699209229260,05/11/2023 18:33:49,1699209229260,0,05/11/2023 18:33:49,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,9,bug_images,Screen 1,4vghlo,1,timedOut,,1000.3580000715228,1000.0439999999944,1000.3580000715228,1000.3580000715228,1000.0439999999944,1000.3580000715228,1,1000.3580000715228,0,0,,Time Limit,screen,0,screen,bug_images,7,13,11221.jpg,,pronist.JPG,,,11221_2,,,,,,,,,,
36,1699209231260,05/11/2023 18:33:51,1699209231260,0,05/11/2023 18:33:51,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,9,bug_images,Screen 2,fzyf7b,2,timedOut,,2000.6140000238447,1999.9690000000046,2000.6140000238447,2000.6140000238447,1999.9690000000046,2000.6140000238447,1,2000.6140000238447,0,0,,Time Limit,screen,0,screen,bug_images,7,13,11221.jpg,,pronist.JPG,,,11221_2,,,,,,,,,,
37,1699209231760,05/11/2023 18:33:51,1699209231760,0,05/11/2023 18:33:51,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,9,bug_images,Screen 3,o7ugiu,3,timedOut,,500.4449999761564,499.9479999999967,500.4449999761564,500.4449999761564,499.9479999999967,500.4449999761564,1,500.4449999761564,0,0,,Time Limit,screen,0,screen,bug_images,7,13,11221.jpg,,pronist.JPG,,,11221_2,,,,,,,,,,
38,1699209232760,05/11/2023 18:33:52,1699209232760,0,05/11/2023 18:33:52,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,9,bug_images,Screen 4,3mgwer,4,timedOut,,1000.5970000000016,1000.0790000000052,1000.5970000000016,1000.5970000000016,1000.0790000000052,1000.5970000000016,1,1000.5970000000016,0,0,,Time Limit,screen,0,screen,bug_images,7,13,11221.jpg,,pronist.JPG,,,11221_2,,,,,,,,,,
39,1699209233760,05/11/2023 18:33:53,1699209233760,0,05/11/2023 18:33:53,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,10,bug_images,Screen 1,4vghlo,1,timedOut,,1000.6180000238382,999.9929999999949,1000.6180000238382,1000.6180000238382,999.9929999999949,1000.6180000238382,1,1000.6180000238382,0,0,,Time Limit,screen,0,screen,bug_images,7,13,21121.jpg,,conter.JPG,,,21121_1,,,,,,,,,,
40,1699209235760,05/11/2023 18:33:55,1699209235760,0,05/11/2023 18:33:55,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,10,bug_images,Screen 2,fzyf7b,2,timedOut,,2000.6250000238433,1999.9360000000015,2000.6250000238433,2000.6250000238433,1999.9360000000015,2000.6250000238433,1,2000.6250000238433,0,0,,Time Limit,screen,0,screen,bug_images,7,13,21121.jpg,,conter.JPG,,,21121_1,,,,,,,,,,
41,1699209236260,05/11/2023 18:33:56,1699209236260,0,05/11/2023 18:33:56,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,10,bug_images,Screen 3,o7ugiu,3,timedOut,,500.4889999761581,499.76900000000023,500.4889999761581,500.4889999761581,499.76900000000023,500.4889999761581,1,500.4889999761581,0,0,,Time Limit,screen,0,screen,bug_images,7,13,21121.jpg,,conter.JPG,,,21121_1,,,,,,,,,,
42,1699209237260,05/11/2023 18:33:57,1699209237260,0,05/11/2023 18:33:57,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,10,bug_images,Screen 4,3mgwer,4,timedOut,,1000.5200000476834,1000.1800000000003,1000.5200000476834,1000.5200000476834,1000.1800000000003,1000.5200000476834,1,1000.5200000476834,0,0,,Time Limit,screen,0,screen,bug_images,7,13,21121.jpg,,conter.JPG,,,21121_1,,,,,,,,,,
43,1699209238260,05/11/2023 18:33:58,1699209238260,0,05/11/2023 18:33:58,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,11,bug_images,Screen 1,4vghlo,1,timedOut,,1000.3400000476831,1000.086000000003,1000.3400000476831,1000.3400000476831,1000.086000000003,1000.3400000476831,1,1000.3400000476831,0,0,,Time Limit,screen,0,screen,bug_images,7,13,21121.jpg,,conter.JPG,,,21121_1,,,,,,,,,,
44,1699209240260,05/11/2023 18:34:00,1699209240260,0,05/11/2023 18:34:00,131657,10,task-l7n3,,32721662,BLIND,9682887,,complete,,6547dfa39814bd125653bafe,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,32,consent,Spreadsheet32,11,bug_images,Screen 2,fzyf7b,2,timedOut,,2000.4539999761546,1999.7519999999931,2000.4539999761546,2000.4539999761546,1999.7519999999931,2000.4539999761546,1,2000.4539999761546,0,0,,Time Limit,screen,0,screen,bug_images,7,13,21121.jpg,,conter.JPG,,,21121_1,,,,,,,,,,
